uid,anime_uid,Mean_score
1,1,10
9,856,8
10,263,10
11,129,9
12,210,7
13,486,9
14,145,8
15,136,10
16,268,10
17,136,10
18,751,9
19,24,10
20,226,10
21,1214,8
22,28,9
23,167,9
25,534,7
26,101,5
27,104,6
29,28,7
30,133,8
31,485,7
32,235,9
33,1453,8
34,1293,9
35,1198,8
36,205,9
37,407,7
38,881,5
39,565,8
40,853,8
41,135,8
44,857,8
47,68,9
48,1210,10
49,1718,8
50,1531,7
53,445,3
54,98,9
55,145,9
56,317,9
57,1222,8
58,150,10
59,790,9
60,32,10
61,853,10
62,357,4
68,1535,9
69,849,10
70,240,10
75,85,10
79,849,10
80,516,9
81,7,8
82,6,10
85,121,10
86,1,9
87,267,10
88,93,10
89,120,9
90,317,10
96,142,6
97,25,8
100,226,10
101,80,10
102,276,10
103,199,10
104,538,6
105,82,8
106,270,7
109,87,9
110,241,8
111,93,8
114,145,8
115,257,3
118,120,10
119,849,7
120,121,9
121,481,10
122,177,9
124,849,10
125,30,10
126,431,10
127,591,9
128,32,10
130,849,10
132,790,9
133,550,9
134,421,9
135,390,8
139,226,9
140,20,8
141,853,9
142,20,7
143,445,7
144,81,10
145,1519,6
146,390,7
147,482,6
148,1095,9
149,209,10
150,79,9
151,889,8
152,226,10
153,1060,7
155,394,6
156,759,8
158,182,10
159,372,7
160,281,7
161,270,9
162,1151,7
163,1571,10
164,96,9
165,430,9
166,1019,9
167,944,8
168,487,8
169,228,9
171,323,10
172,380,6
173,237,10
178,721,8
180,66,10
181,526,9
182,16,10
183,120,9
186,849,9
187,77,8
188,1080,6
189,557,8
190,1535,8
191,944,7
192,1005,7
193,1805,8
195,168,10
196,123,8
198,433,9
199,1210,8
201,637,8
204,486,10
205,1292,8
206,1222,7
207,97,7
208,846,8
211,232,7
212,71,9
214,226,9
215,258,8
216,1575,9
217,237,10
219,60,9
226,122,9
228,969,10
230,237,8
231,1482,8
232,1535,9
233,329,9
239,251,9
240,1535,9
242,1215,9
243,121,10
244,102,10
245,98,9
246,30,10
247,120,10
248,21,10
249,1352,8
250,1524,10
251,777,9
252,76,8
253,77,8
254,1952,7
256,467,9
257,801,10
258,113,9
259,783,9
260,554,8
261,555,7
262,557,8
263,790,9
264,1601,9
265,387,9
266,1691,7
268,58,7
269,1380,6
270,384,9
271,1944,7
272,556,6
273,1517,8
274,82,9
276,147,9
277,1,9
278,1554,6
279,1024,7
280,543,9
281,153,10
282,857,8
284,21,10
286,198,5
287,1956,8
288,120,8
290,245,9
292,61,10
293,238,7
294,424,5
295,1803,5
296,548,8
297,1967,5
298,1968,4
299,1969,5
300,490,9
301,21,9
308,340,9
309,396,7
310,879,9
311,1795,4
312,1384,5
313,690,6
314,963,9
317,1794,4
318,1796,6
319,2025,8
320,397,7
321,398,9
324,134,8
325,2236,10
326,1802,6
328,328,5
329,1579,10
330,64,9
331,2037,8
333,474,10
334,256,10
335,1571,10
336,121,10
338,21,9
339,177,7
340,15,8
341,45,9
342,969,7
343,1,10
344,61,8
345,408,10
346,857,8
347,857,9
350,33,10
351,1780,8
352,1530,10
354,392,10
355,130,10
356,131,10
358,546,3
359,302,9
360,239,10
361,225,3
362,123,9
368,28,8
369,135,9
371,169,8
372,249,10
373,162,9
374,2349,8
376,121,10
377,135,10
378,102,7
379,281,3
380,66,7
381,67,8
382,57,9
383,68,7
384,109,7
385,232,7
386,60,8
387,1067,6
388,226,8
389,317,10
390,227,10
391,123,10
392,380,6
393,383,6
396,957,8
397,1195,6
398,234,6
399,71,9
400,72,10
402,1535,10
404,226,5
405,962,10
406,512,9
420,223,7
421,182,8
422,240,8
423,132,8
424,578,8
425,134,8
426,412,6
427,16,9
428,1142,9
429,479,9
430,2001,10
431,21,10
432,1,9
433,392,8
435,90,8
436,105,8
438,189,3
439,21,10
440,269,8
441,132,8
442,20,5
443,1735,8
444,205,10
445,459,8
446,1094,9
447,1602,10
448,1682,8
451,2523,7
452,1530,8
453,469,8
454,251,8
455,408,7
456,853,9
458,523,8
461,2385,8
462,158,8
463,853,10
464,74,10
465,120,10
466,149,7
467,193,5
